No.,Name,Longitude,Latitude,Status Area,Fund Provider,Intermediaries [Roles],Beneficiaries,Location (focussed area),Duration (year),Commodity [solution-oriented],Ecosystem Services,More Info,Type of Financing
1,Ba Be,105.6212545,22.41959266,National park; Wetland of International Importance (Ramsar Site),"Australian Embassy in Hanoi (~AUD 10,000 / VND 205M)",Bac Kan 3PAD (project manager); local schools (ground-level administration),"Marginalized ethnic Tay women & children in Coc Toc, Bo Lu & Pac Ngoi villages (Nam Mau commune)","Ba Be National Park, Bac Kan Province (7,611 ha)",2014,Waste management infrastructure; recyclable waste as income source; environmental education & small-business training,"Freshwater lake ecosystem conservation & watershed protection (provisioning & regulating), biodiversity habitat & eco-tourism support (supporting & cultural)","https://vietnam.embassy.gov.au/hnoi/MR110914BaBeProject.html;
https://en.qdnd.vn/foreign-affairs/multilateral-relations/australia-helps-protect-ba-be-national-park-424593?jskey=q80rNJKlJfV6aeaMkkEPJ3BowwCYhKdVjbwITFmHUVIG;
https://scienceinfo.net/australia-helps-manage-ba-be-national-park-waste.html",Bilateral Grant
2,Ba Be,105.6212545,22.41959266,National park; Wetland of International Importance (Ramsar Site),"IFAD, GEF & Government of Vietnam with local beneficiaries; total USD 25.33M (IFAD loan USD 21.00M, GEF grant USD 0.65M, GOV/beneficiaries USD 3.68M)","Bac Kan PPC (Lead Agency); PSC (policy/budget advisory); PMU (day-to-day ops); APIF Unit (pro-poor co-investments); CPCs/CMBs (commune fund owners); CDBs/VFMBs (village infrastructure & assets); Women's Union & Farmers' Union (training, SCGs, CIG development); ICRAF (PES methodology)","Upland rural poor households (ethnic minorities, 542 villages); CIGs; farmer-trainers; schools/students; small agribusiness enterprises","Spans three of the poorest districts in Bac Kan Province (specifically Ba Be, Na Ri, and Pac Nam), covering 48 communes and 542 villages.",2009-2015,"Agricultural value chain products (ginger, cassava, chili, livestock) & climate-resilient inputs (efficient stoves, bio-fertilizers, drought-tolerant seeds)","Forestland allocation & red-book certification (provisioning), micro-watershed conservation & soil erosion control via contour-planted fodder grass (regulating), PES for biodiversity, landscape beauty & forest patrolling (supporting & cultural)",https://www.ifad.org/documents/d/new-ifad.org/supervision-report-september-2014,Multilateral Co-Financing
3,Ba Be,105.6212545,22.41959266,National park; Wetland of International Importance (Ramsar Site),"German Government (BMZ/KfW); Small Grants Programme II (EUR 7.71M for 52 projects covering Hoang Lien, Kon Ka Kinh, Chu Mom Ray, Ba Be NPs)",ASEAN Centre for Biodiversity (ACB) & Frankfurt Zoological Society (FZS) — training & micro-grant providers,"Ethnic groups, women & youth in local communities","Sa Pa, Lao Cai Province",2017 – 2025,"Camera traps; biodiversity-based products (honey, green tea, handicrafts); ecotourism","Wildlife monitoring, forest ecosystem protection & sustainable resource use (regulating & supporting)",https://www.aseanbiodiversity.org/news-events-jobs/community-based-livelihood-and-conservation-project-for-asean-marks-successful-end-in-viet-nam/,Bilateral Grant
4,Ba Be,105.6212545,22.41959266,National park; Wetland of International Importance (Ramsar Site),"Darwin Initiative / UK Aid (GBP 299,755 total project grant)",TRAFFIC International (lead); Bac Kan FPD (provincial partner); Hanoi University of Pharmacy (partner institution); DK Pharma/DK Natura (private trade partners); Ministry of Health & MONRE/BCA (national policy partners),"Low-income rural households, specifically ethnic minority collectors",Buffer zone of Ba Be National Park,2015-2018,"Wild-collected medicinal/aromatic plants (Jiaogulan, Woolly Fern); community collector organizations; sustainable harvesting tools & quotas","Wild medicinal plant conservation & sustainable harvesting, forest governance improvement (provisioning & supporting)",https://www.darwininitiative.org.uk/documents/DAR22010/23988/22-010%20AR2%20-%20edited.pdf,Bilateral Grant
5,Ba Na - Nui Chua,107.9485687,16.09521422,Nature Reserve,"GEF Trust Fund ($9M); co-financiers: Vietnam Government, WWF-US/Denmark/Vietnam, USAID, Apple, IKEA; total project cost ~$82M",MONRE/NBCA (executing entity); WWF-US (GEF agency); WWF-Vietnam & partners (field pilot co-implementers),"Globally threatened wildlife (Saola, Langurs, Gibbons); 12 ethnic minority groups; ~3,000 direct benefit-sharing participants (45% women); forest enterprises & community forest user groups","Central Vietnam Landscape – 6 provinces (Nghệ An, Hà Tĩnh, Quảng Bình, Quảng Trị, Thừa Thiên Huế, Quảng Nam) + Đà Nẵng; 21 special-use forests incl. Bà Nà–Núi Chúa NR (27,981 ha)",2025-2030,"Performance-based biodiversity financing & credits; PWES pilot (Tam Giang–Cầu Hai wetland); OECMs & transboundary ecological corridors; 130,532 ha silvicultural restoration; ERPA carbon accounting","Carbon sequestration (6.27M tCO₂e) & intact forest connectivity (731,446 ha PA estate) (regulating), endangered wildlife protection (Saola, Gibbons) & freshwater lagoon balance (supporting)",https://files.worldwildlife.org/wwfcmsprod/files/Publication/file/3y70tv1dv_WWF_GEF_G0046_PIF_Vietnam_22_Nov_2023_final.pdf,Co-Financing / Blended
6,Bac Lieu Bird Sanctuary,105.7158756,9.240485507,Nature Reserve,"World Bank (IDA) & GEF; under US$310M IDA / US$6M GEF project (Component 4: Coastal Peninsula, Sub-project 10)",MARD (primary implementing agency); Bac Lieu PPC (local executor),Coastal communities in Bac Lieu city & surrounding areas; local aquaculture farmers; conservation management staff,"Project Area Covered: Bac Lieu coastal area, including coastal protection forests located approximately 1 km from the sanctuary.",2016-2022,Climate-resilient aquaculture (sustainable shrimp farming in buffer zones),"Coastal protection & urban buffer zone maintenance (regulating), avian habitat preservation (supporting)","https://ewsdata.rightsindevelopment.org/files/documents/44/WB-P153544_ldILX8r.pdf;
https://documents1.worldbank.org/curated/en/840701467996680631/pdf/PAD1610-PAD-P153544-IDA-R2016-0110-1-Box394889B-OUO-9.pdf",Multilateral Co-Financing
7,Bach Ma,107.7824611,16.13711526,National Park,"CEPF ($235,000 core grant); co-financiers: Re:wild ($50,000), WWF Singapore ($4,300), Bach Ma NP ($30,000+ in-kind)",WWF-Viet Nam (lead grantee); Phong Chau JSC (contracted builder); Song Ty Construction Consulting (construction supervisor); CRES (EIA consultant),"Globally threatened focal species (Bourret's Box Turtle, Large-antlered Muntjac, Annamite Striped Rabbit, Annamite Crested Argus); 7 Conservation Center technical staff; 17 forest protection staff in Hue & Quang Nam Saola NRs","Central Annamites – Bach Ma National Park, Hue Saola Nature Reserve & Quang Nam Saola Nature Reserve",2021-2025,"2,500 m² Conservation Breeding Center (4 enclosures); husbandry & breeding plans; camera-trap monitoring grids; snare removal patrols","Priority threatened species ex-situ breeding & population reinforcement (supporting), forest micro-watershed protection & snare removal (regulating & supporting)",https://www.cepf.net/resources/final-project-report/final-completion-and-impact-report-111997,Co-Financing / Grant
8,Bach Ma,107.7824611,16.13711526,National park,"USAID (VFBC Project); covers Vu Quang, Bidoup Nui Ba, Cat Tien, Cuc Phuong, Phong Nha-Ke Bang, Song Thanh, Bach Ma NPs & 7 nature reserves",WWF (main implementer); MARD (government oversight),"Forest communities (7,000 people targeted for improved economic benefits; 40 communities for sustainable value chains; 9 villages for community eco-tourism); local wildlife populations","Cuc Phuong National Park, Ninh Binh Province",2020 – 2025 (Unfinished),Conservation-friendly ecotourism enterprises; forest crime law enforcement & wildlife trade demand reduction,"Intact forest conservation, endangered wildlife stabilization & ecosystem protection (regulating & supporting)",https://vietnam.panda.org/en/our_work/wildlife/usaid_bca/,Bilateral Grant
9,Bat Dai Son,104.9892624,23.12672888,Nature Reserve,"CEPF via IUCN ($19,581)","Center for Plant Conservation (CPC, lead grantee); Bat Dai Son NR Management Board & FPD (nursery oversight); CIG (community monitoring)","Dao, H'Mong, Tay, Ray & Kinh minority groups in 4 communes; 8 CIG members; domestic & international tourists","Bat Dai Son Nature Reserve, Ha Giang Province",2018-2019,"Nursery upgrading (100+ m², shade/water); propagation of endemic conifers (Vietnamese Golden Cypress, Taxus chinensis, Magnolia coriacea); community NRM & signboards","Limestone karst forest restoration & threatened/endemic flora conservation (Vietnamese Golden Cypress, Taxus chinensis) (supporting & regulating)",https://www.cepf.net/resources/final-project-report/final-project-report-2799,NGO Grant
10,Bat Dai Son,104.9892624,23.12672888,Nature Reserve,"CEPF ($110,000 core grant)","FFI (lead grantee — management, data, PA advocacy); Quan Ba District FPD (implementation — patrols, enforcement, governance); Bat Dai Son NR Management Board (potential PA manager); MAC (cross-commune engagement)","CCT (9 part-time patrol members, Tung Vai forest — training & SMART patrolling tools); local cardamom farmers (alternative livelihood inputs offsetting forest-use restrictions)","Covers a 3,000-hectare critical monkey habitat zone within a 5,000-hectare watershed protection forest in the Tung Vai forest of Quan Ba District, which connects with the broader landscape targets of the Bat Dai Son Nature Reserve.",2023-2025,"Smartphone data collection tools (SMART, Mergin Maps); alternative seedlings (fruit trees, green tea); livelihood skills training","Tonkin snub-nosed monkey population protection (supporting), cardamom cultivation zoning for watershed management (regulating), protected area legal upgrade support (supporting)",https://www.cepf.net/resources/documents/safeguard-process-framework-190,NGO Grant
11,Bau Sau,107.2933333,11.46666667,Wetland of International Importance (Ramsar Site),"GEF (~$150,000 in community development loans for Dong Nai component)",UNDP (support); NBCA/MAE (implementer); Dong Nai Biosphere Reserve Management Board (cross-provincial coordination),"1,000+ buffer-zone households (incl. 892 microfinance loan recipients); 30+ ethnic communities within the reserve","Dong Nai Biosphere Reserve (756,000 ha across Dong Nai, Lam Dong & Ho Chi Minh City), incl. Bau Sau Ramsar site (Crocodile Lake)",N/A,"Sustainable agroforestry; organic citrus & mango cultivation; eco-friendly livestock (cattle, goats); ecotourism; microfinance for livelihood transition","Clean water provision & climate regulation (provisioning & regulating), groundwater recharge & Siamese crocodile habitat protection (supporting), sustainable food provisioning (provisioning)",https://undp-nature.exposure.co/the-path-of-giants,Multilateral Grant
12,Ben En,105.4767121,19.59007714,National Park,"VLIR-UOS (Flemish Interuniversity Council, Belgium); ~€75,000 (~$80,000)","Ghent University (UGent, lead research); local Vietnamese partner universities (research & implementation)",Ben En National Park Management Board & local conservation authorities,"Ben En National Park, Thanh Hoa Province",2023-2025,High-resolution drone mapping data; spatial biodiversity databases; technological capacity building for forest monitoring,Biodiversity conservation mapping & forest ecosystem monitoring support (supporting),https://research.ugent.be/web/result/project/1473b341-e293-491b-b60e-4f453ea87f3b/details/en,Bilateral Grant
